Report Date,Property Name,Unit Number,Size,Baths,Floor Plan Name,Square Feet,Unit Status,Total Market Rent,Lease Type Current Lease,Lease Term Current Lease,Lease End Date Current Lease,Notice On Date Current Lease,Notice For Date Current Lease,Lease Rent Current Lease,MTMFees Current Lease,Length Of Stay,Status,Renewal Status,Lease Type Future Lease,Lease Start Date Future Lease,Lease End Date Future Lease,Move In Date Future Lease,Lease Rent Future Lease,Make Ready Date Future Lease
14/09/2020,My Property,404,2,2,B1,950,Normal,950,Renewal,12,31/12/2020,,,850,0,27,OC,Undecided,,,,,0,
14/09/2020,My Property,501,2,2,B1,950,Normal,980,New,12,10/03/2021,,,950,0,6,OC,Undecided,,,,,0,
14/09/2020,My Property,502,2,2,B1,950,Normal,980,Renewal,13,31/10/2020,,,775,0,37,OC,Undecided,,,,,0,
14/09/2020,My Property,503,2,2,B1,950,Normal,950,New,13,31/05/2021,,,950,0,4,OC,Undecided,,,,,0,
14/09/2020,My Property,504,2,2,B1,950,Normal,950,New,13,30/09/2020,,,950,0,12,OC,Renewed,Renewal,01/10/2020,30/09/2021,09/09/2016,950,
14/09/2020,My Property,601,2,2,B1,950,Normal,980,Renewal,12,31/07/2021,,,950,0,14,OC,Undecided,,,,,0,
14/09/2020,My Property,602,2,2,B1,950,Normal,980,New,12,08/02/2021,,,950,0,7,OC,Undecided,,,,,0,
14/09/2020,My Property,603,2,2,B1,950,Normal,950,Renewal,13,31/05/2021,,,855,0,16,OC,Undecided,,,,,0,
14/09/2020,My Property,604,2,2,B1,950,Normal,950,New,12,28/06/2021,,,950,0,3,OC,Undecided,,,,,0,
14/09/2020,My Property,701,2,2,B1,950,Normal,980,Renewal,12,31/10/2020,,,765,0,24,OC,Undecided,,,,,0,
14/09/2020,My Property,702,2,2,B1,950,Normal,980,New,12,31/03/2021,,,930,0,5,OC,Undecided,,,,,0,
14/09/2020,My Property,703,2,2,B1,950,Normal,950,Renewal,12,31/05/2021,,,820,0,16,OC,Undecided,,,,,0,
14/09/2020,My Property,704,2,2,B1,950,Normal,950,New,12,21/07/2021,,,950,0,2,OC,Undecided,,,,,0,
14/09/2020,My Property,801,2,2,B1,950,Normal,980,Renewal,12,30/06/2021,,,920,0,26,OC,Undecided,,,,,0,
14/09/2020,My Property,802,2,2,B1,950,Normal,980,Renewal,13,31/10/2020,,,845,0,24,OC,Undecided,,,,,0,
14/09/2020,My Property,803,2,2,B1,950,Normal,950,,,,,,0,0,,VA,,,,,,0,
14/09/2020,My Property,804,2,2,B1,950,Normal,950,New,12,19/01/2021,,,950,0,8,OC,Undecided,,,,,0,
14/09/2020,My Property,901,2,2,B1,950,Normal,980,New,12,24/05/2021,,,950,0,4,OC,Undecided,,,,,0,
14/09/2020,My Property,902,2,2,B1,950,Normal,980,New,13,30/06/2021,,,950,0,3,OC,Undecided,,,,,0,
14/09/2020,My Property,903,2,2,B1,950,Normal,950,Renewal,10,30/09/2020,,,915,0,24,OC,Undecided,,,,,0,
14/09/2020,My Property,904,2,2,B1,950,Normal,950,Renewal,15,30/09/2021,,,820,0,28,OC,Undecided,,,,,0,
